Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96133,0,1.81752,0.00104529,0.0727632,0,0.111504,7.68121e-06,0.115886,0,1.23285,0.00103825,0.0183173,0,0.0876581,7.59172e-06,, , 0.067784,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00103825,0.000987789,0.0134846,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.59172e-06,0.0585562
2,15.1231,15.1806,11.3419,0.0107035,0.500138,0.503956,3.47521,0.000643928,3.68237,3.73988,9.61542,0.0103899,0.174312,0.178131,2.60677,3.97838e-05,, , 0.529638,6.59864,0.293982,15.1163,9.97854,9.61542,0.0103899,0.0155217,0.204354,0.129148,0.0189411,0.00853657,0.640836,2.60677,3.97838e-05,0.920125
3,4.2064,4.23151,7.27504,0.0214334,0.173917,0.175505,2.84225,0.00116051,0.892215,0.91732,6.41687,0.0208064,0.0702745,0.0718624,1.11272,0.000143217,, , 0.231731,1.44982,0.127988,5.23262,3.22804,6.41687,0.0208064,0.0293457,0.0921012,0.0417726,0.00826316,0.00755516,0.204585,1.11272,0.000143217,1.73961
4,6.18103,6.2377,7.76676,0.043628,0.278495,0.282314,5.61027,0.000620776,1.10704,1.16371,6.41594,0.0423739,0.135985,0.139804,2.15226,0.000147807,, , 0.473009,1.54823,0.249511,8.74862,4.6985,6.41594,0.0423739,0.0584488,0.183238,0.0761984,0.0163526,0.0118465,0.284231,2.15226,0.000147807,3.46485
5,1.52977,1.55063,7.03814,0.0831734,0.0879093,0.0891167,7.692,0.0012018,0.274065,0.294922,5.50232,0.0806651,0.0483534,0.0495607,0.778164,0.000571351,, , 0.170229,0.307138,0.0916197,6.2831,1.66101,5.50232,0.0806651,0.116473,0.0678456,0.024022,0.00604648,0.017688,0.0855392,0.778164,0.000571351,6.90454
6,2.44519,2.48922,8.4398,0.161878,0.150708,0.153685,15.3304,0.00094582,0.448466,0.492493,5.50243,0.156861,0.0966992,0.0996763,1.50306,0.000827631,, , 0.35044,0.409594,0.180924,11.9572,2.76803,5.50243,0.156861,0.232886,0.137636,0.0467762,0.0119635,0.0313899,0.125166,1.50306,0.000827631,13.8055
7,0.470047,0.471189,9.5755,0.289499,0.0297752,0.0301068,49.3627,0.000253691,0.385809,0.386952,0.0130033,0.272413,0.0164495,0.0167811,0.199939,3.64666e-05,, , 0.00997805,0.757676,0.00510665,12.0326,0.287717,0.0130033,0.272413,0.827824,0.0137219,0.0183357,0.00117297,0.107445,0.0520212,0.199939,3.64666e-05,49.0734
8,0.0286107,0.0287472,0.0180595,0.000415887,0.000539287,0.000545316,0.0602466,3.14872e-07,0.00197469,0.0021112,0.00208864,0.000395032,8.74339e-05,9.34633e-05,0.000227485,4.97059e-08,, , 0.00125218,0.00218914,0.000644581,0.0803593,0.0212412,0.00208864,0.000395032,0.00101147,7.36694e-05,8.89254e-05,1.83023e-05,0.000321226,0.00074128,0.000227485,4.97059e-08,0.0599602
Total,37.9455,30.1896,53.2728,0.611776,1.29425,1.23523,84.4846,0.00483452,6.90783,6.99739,34.7009,0.584942,0.560478,0.555909,8.4408,0.0017739,, , 1.83406,11.0806,0.990543,66.3248,24.21,34.7009,0.584942,1.2825,0.712455,0.339823,0.0641095,0.186405,1.4432,8.4408,0.0017739,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11892,0.0081954,1.51141,19.293,0.0203289,3.74908
