Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00104529,0.0727676,0,0.111504,7.48205e-06,0.115911,0,1.23285,0.00103825,0.0183217,0,0.0876581,7.39256e-06,, , 0.0678087,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00103825,0.000987789,0.013489,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.39256e-06,0.0585562
2,15.124,15.1815,11.342,0.0108264,0.500985,0.504795,3.47522,0.00120896,3.68323,3.74074,9.61544,0.0105129,0.17516,0.178969,2.60677,7.50982e-05,, , 0.531356,6.59864,0.293982,15.1163,9.97854,9.61544,0.0105129,0.0155217,0.206038,0.129148,0.0189429,0.00853657,0.640836,2.60677,7.50982e-05,0.920125
3,4.20652,4.23163,7.27446,0.0210173,0.1726,0.174332,2.83017,0.00134965,0.892337,0.917442,6.41629,0.0203902,0.0689574,0.0706889,1.10064,0.000166859,, , 0.231975,1.44982,0.127988,5.23262,3.22804,6.41629,0.0203902,0.0293457,0.0896403,0.0417726,0.00823346,0.00755516,0.204585,1.10064,0.000166859,1.73961
4,6.17586,6.23254,7.76796,0.0423352,0.275436,0.278662,5.68272,0.00138638,1.10187,1.15854,6.41714,0.0410811,0.132926,0.136152,2.2247,0.000339207,, , 0.462678,1.54823,0.249511,8.74862,4.6985,6.41714,0.0410811,0.0584488,0.176404,0.0761984,0.0164752,0.0118465,0.284231,2.2247,0.000339207,3.46485
5,1.53003,1.55089,7.03861,0.0729765,0.0879351,0.0890264,7.70974,0.000335254,0.274331,0.295188,5.50279,0.0704682,0.0483791,0.0494704,0.795904,0.00013808,, , 0.170761,0.307138,0.0916197,6.2831,1.66101,5.50279,0.0704682,0.116473,0.067757,0.024022,0.00607048,0.017688,0.0855392,0.795904,0.00013808,6.90454
6,2.44378,2.48781,8.44039,0.123158,0.150381,0.153064,15.366,0.000183768,0.44705,0.491078,5.50302,0.118141,0.0963719,0.0990547,1.53857,6.55788e-05,, , 0.347609,0.409594,0.180924,11.9572,2.76803,5.50302,0.118141,0.232886,0.136626,0.0467762,0.0120244,0.0313899,0.125166,1.53857,6.55788e-05,13.8055
7,0.469995,0.471137,9.57564,0.253089,0.0297346,0.0300304,49.3697,0.000247856,0.385757,0.386899,0.0131478,0.236003,0.0164089,0.0167047,0.206948,3.06311e-05,, , 0.00987319,0.757676,0.00510665,12.0326,0.287717,0.0131478,0.236003,0.827824,0.0135976,0.0183357,0.00118035,0.107445,0.0520212,0.206948,3.06311e-05,49.0734
8,0.0286181,0.0287546,0.0180304,0.000586476,0.000539238,0.00054538,0.0602445,3.34357e-07,0.00198206,0.00211857,0.00205954,0.000565621,8.73846e-05,9.35264e-05,0.00022534,6.91907e-08,, , 0.00126691,0.00218914,0.000644581,0.0803593,0.0212412,0.00205954,0.000565621,0.00101147,7.37065e-05,8.89254e-05,1.82791e-05,0.000321226,0.00074128,0.00022534,6.91907e-08,0.0599602
Total,37.9401,30.1842,53.2746,0.525035,1.29038,1.23045,84.6052,0.00471968,6.90247,6.99201,34.7028,0.498201,0.556612,0.551134,8.56142,0.000822916,, , 1.82333,11.0806,0.990543,66.3248,24.21,34.7028,0.498201,1.2825,0.703626,0.339823,0.0642964,0.186405,1.4432,8.56142,0.000822916,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1162,0.00820183,1.51259,19.0715,0.0203685,3.75639
