Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727698,0,0.111504,6.11844e-06,0.115922,0,1.23285,0.0010195,0.0183239,0,0.0876581,6.02895e-06,, , 0.0678194,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134912,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.02895e-06,0.0585562
2,15.1236,15.1812,11.3421,0.0104927,0.500177,0.503905,3.47523,0.000949293,3.68293,3.74044,9.61561,0.0101792,0.174352,0.178079,2.60678,5.88692e-05,, , 0.530749,6.59864,0.293982,15.1163,9.97854,9.61561,0.0101792,0.0155217,0.204323,0.129148,0.01896,0.00853657,0.640836,2.60678,5.88692e-05,0.920125
3,4.20707,4.23218,7.27443,0.0206066,0.17358,0.175318,2.81811,0.000756446,0.892888,0.917992,6.41626,0.0199795,0.0699371,0.0716757,1.08858,9.2709e-05,, , 0.233076,1.44982,0.127988,5.23262,3.22804,6.41626,0.0199795,0.0293457,0.0916082,0.0417726,0.00823201,0.00755516,0.204585,1.08858,9.2709e-05,1.73961
4,6.18038,6.23705,7.76681,0.0396951,0.277192,0.280988,5.61027,0.00049701,1.10638,1.16306,6.41599,0.038441,0.134682,0.138478,2.15226,0.000116866,, , 0.471706,1.54823,0.249511,8.74862,4.6985,6.41599,0.038441,0.0584488,0.180604,0.0761984,0.0163573,0.0118465,0.284231,2.15226,0.000116866,3.46485
5,1.53018,1.55104,7.03797,0.081992,0.0879146,0.0891646,7.692,0.00094468,0.274477,0.295333,5.50215,0.0794837,0.0483587,0.0496086,0.77816,0.000442793,, , 0.171052,0.307138,0.0916197,6.2831,1.66101,5.50215,0.0794837,0.116473,0.0679076,0.024022,0.00603766,0.017688,0.0855392,0.77816,0.000442793,6.90454
6,2.4452,2.48922,8.43991,0.154885,0.150594,0.153514,15.3305,0.000608531,0.448467,0.492495,5.50254,0.149868,0.0965852,0.0995053,1.50307,0.000490342,, , 0.350443,0.409594,0.180924,11.9572,2.76803,5.50254,0.149868,0.232886,0.137339,0.0467762,0.0119753,0.0313899,0.125166,1.50307,0.000490342,13.8055
7,0.470052,0.471194,9.5756,0.311497,0.0296736,0.02998,49.3679,0.000261799,0.385814,0.386956,0.0131048,0.294411,0.0163479,0.0166543,0.205195,4.45748e-05,, , 0.0099868,0.757676,0.00510665,12.0326,0.287717,0.0131048,0.294411,0.827824,0.0134884,0.0183357,0.00117816,0.107445,0.0520212,0.205195,4.45748e-05,49.0734
8,0.0286213,0.0287578,0.0180557,0.000854347,0.000539231,0.000545275,0.0602466,3.62985e-07,0.00198529,0.00212179,0.0020848,0.000833492,8.7378e-05,9.34223e-05,0.000227485,9.7818e-08,, , 0.00127336,0.00218914,0.000644581,0.0803593,0.0212412,0.0020848,0.000833492,0.00101147,7.35755e-05,8.89254e-05,1.82993e-05,0.000321226,0.00074128,0.000227485,9.7818e-08,0.0599602
Total,37.9465,30.1906,53.2724,0.621049,1.29244,1.23342,84.4657,0.00402424,6.90887,6.99839,34.7006,0.594216,0.558674,0.554095,8.42194,0.00125228,, , 1.83611,11.0806,0.990543,66.3248,24.21,34.7006,0.594216,1.2825,0.708835,0.339823,0.06411,0.186405,1.4432,8.42194,0.00125228,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11948,0.00819467,1.51127,19.3396,0.0203243,3.74824
