Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96138,0,1.81752,0.00102654,0.0727723,0,0.111504,7.82673e-06,0.115934,0,1.23285,0.0010195,0.0183263,0,0.0876581,7.73724e-06,, , 0.067832,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134936,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.73724e-06,0.0585562
2,15.1233,15.1808,11.3422,0.0105059,0.501193,0.50491,3.47523,0.00125369,3.68256,3.74007,9.61563,0.0101924,0.175367,0.179084,2.60678,7.78937e-05,, , 0.530009,6.59864,0.293982,15.1163,9.97854,9.61563,0.0101924,0.0155217,0.206341,0.129148,0.018962,0.00853657,0.640836,2.60678,7.78937e-05,0.920125
3,4.20694,4.23204,7.27464,0.0201559,0.173424,0.175112,2.83018,0.00088656,0.892751,0.917856,6.41647,0.0195289,0.0697816,0.0714692,1.10065,0.000108973,, , 0.232802,1.44982,0.127988,5.23262,3.22804,6.41647,0.0195289,0.0293457,0.0912356,0.0417726,0.00824255,0.00755516,0.204585,1.10065,0.000108973,1.73961
4,6.17678,6.23345,7.76762,0.0407358,0.277041,0.280436,5.65858,0.000904764,1.10278,1.15946,6.4168,0.0394817,0.134531,0.137925,2.20056,0.000218804,, , 0.464505,1.54823,0.249511,8.74862,4.6985,6.4168,0.0394817,0.0584488,0.179818,0.0761984,0.0164405,0.0118465,0.284231,2.20056,0.000218804,3.46485
5,1.5299,1.55075,7.03856,0.0811872,0.087886,0.0889893,7.70974,0.00100349,0.274192,0.295049,5.50274,0.0786789,0.04833,0.0494334,0.795903,0.000472197,, , 0.170483,0.307138,0.0916197,6.2831,1.66101,5.50274,0.0786789,0.116473,0.0676734,0.024022,0.00606798,0.017688,0.0855392,0.795903,0.000472197,6.90454
6,2.44414,2.48817,8.44054,0.151867,0.150322,0.152934,15.366,0.000504899,0.447412,0.49144,5.50316,0.14685,0.096313,0.0989248,1.53858,0.00038671,, , 0.348334,0.409594,0.180924,11.9572,2.76803,5.50316,0.14685,0.232886,0.136423,0.0467762,0.0120391,0.0313899,0.125166,1.53858,0.00038671,13.8055
7,0.470073,0.471215,9.57561,0.256732,0.0297582,0.030062,49.3679,0.000247454,0.385835,0.386977,0.0131155,0.239646,0.0164325,0.0167363,0.205196,3.02296e-05,, , 0.0100289,0.757676,0.00510665,12.0326,0.287717,0.0131155,0.239646,0.827824,0.0136544,0.0183357,0.0011787,0.107445,0.0520212,0.205196,3.02296e-05,49.0734
8,0.0286212,0.0287577,0.0180463,0.000721111,0.000539263,0.000545344,0.0602466,3.7117e-07,0.00198521,0.00212171,0.00207546,0.000700256,8.74102e-05,9.34906e-05,0.000227484,1.06004e-07,, , 0.0012732,0.00218914,0.000644581,0.0803593,0.0212412,0.00207546,0.000700256,0.00101147,7.36835e-05,8.89254e-05,1.82918e-05,0.000321226,0.00074128,0.000227484,1.06004e-07,0.0599602
Total,37.9411,30.1852,53.2747,0.562931,1.29294,1.23299,84.5794,0.00480905,6.90345,6.99297,34.7029,0.536097,0.559169,0.553667,8.53556,0.00130265,, , 1.82527,11.0806,0.990543,66.3248,24.21,34.7029,0.536097,1.2825,0.708713,0.339823,0.0643004,0.186405,1.4432,8.53556,0.00130265,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1167,0.00819915,1.5121,19.1116,0.0203519,3.75333
