Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00101404,0.0727642,0,0.111504,8.14979e-06,0.115889,0,1.23285,0.001007,0.0183183,0,0.0876581,8.06029e-06,, , 0.0677871,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001007,0.000987789,0.0134856,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.06029e-06,0.0585562
2,15.1239,15.1814,11.3419,0.0102909,0.499804,0.503654,3.47521,0.000646103,3.68317,3.74068,9.61536,0.00997741,0.173978,0.177828,2.60676,3.99197e-05,, , 0.531235,6.59864,0.293982,15.1163,9.97854,9.61536,0.00997741,0.0155217,0.203724,0.129148,0.0189347,0.00853657,0.640836,2.60676,3.99197e-05,0.920125
3,4.20581,4.23091,7.27534,0.021679,0.173995,0.175508,2.85432,0.0017364,0.891619,0.916724,6.41718,0.021052,0.0703521,0.0718653,1.12479,0.000215203,, , 0.230539,1.44982,0.127988,5.23262,3.22804,6.41718,0.021052,0.0293457,0.0921662,0.0417726,0.00827861,0.00755516,0.204585,1.12479,0.000215203,1.73961
4,6.18234,6.23902,7.76675,0.0430973,0.279178,0.283004,5.61027,0.000856702,1.10835,1.16503,6.41593,0.0418432,0.136668,0.140494,2.15226,0.000206789,, , 0.475639,1.54823,0.249511,8.74862,4.6985,6.41593,0.0418432,0.0584488,0.184612,0.0761984,0.0163512,0.0118465,0.284231,2.15226,0.000206789,3.46485
5,1.53155,1.5524,7.03728,0.0848824,0.0881563,0.089578,7.67424,0.00134645,0.275843,0.296699,5.50146,0.082374,0.0486004,0.0500221,0.760408,0.000643676,, , 0.173784,0.307138,0.0916197,6.2831,1.66101,5.50146,0.082374,0.116473,0.0685983,0.024022,0.00600214,0.017688,0.0855392,0.760408,0.000643676,6.90454
6,2.44623,2.49025,8.43947,0.16898,0.150989,0.154129,15.3127,0.00143984,0.449498,0.493526,5.5021,0.163963,0.0969802,0.10012,1.4853,0.00132165,, , 0.352505,0.409594,0.180924,11.9572,2.76803,5.5021,0.163963,0.232886,0.138395,0.0467762,0.0119298,0.0313899,0.125166,1.4853,0.00132165,13.8055
7,0.470055,0.471197,9.57553,0.302357,0.0297005,0.0300233,49.3644,0.000256682,0.385818,0.38696,0.0130387,0.285271,0.0163748,0.0166976,0.201691,3.94572e-05,, , 0.00999416,0.757676,0.00510665,12.0326,0.287717,0.0130387,0.285271,0.827824,0.0135619,0.0183357,0.00117478,0.107445,0.0520212,0.201691,3.94572e-05,49.0734
8,0.028614,0.0287505,0.018043,0.00102347,0.000539107,0.0005452,0.0602466,3.86957e-07,0.00197802,0.00211452,0.00207217,0.00100261,8.72535e-05,9.33466e-05,0.000227484,1.21791e-07,, , 0.00125882,0.00218914,0.000644581,0.0803593,0.0212412,0.00207217,0.00100261,0.00101147,7.33855e-05,8.89254e-05,1.82892e-05,0.000321226,0.00074128,0.000227484,1.21791e-07,0.0599602
Total,37.9498,30.1939,53.2718,0.633324,1.29513,1.23644,84.4629,0.00629071,6.91217,7.00173,34.7,0.60649,0.561359,0.557121,8.41909,0.00247488,, , 1.84274,11.0806,0.990543,66.3248,24.21,34.7,0.60649,1.2825,0.714616,0.339823,0.0640409,0.186405,1.4432,8.41909,0.00247488,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11936,0.00819344,1.51105,19.3313,0.0203168,3.74685
