Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96132,0,1.81752,0.00100779,0.0727613,0,0.111504,7.46414e-06,0.115875,0,1.23285,0.00100075,0.0183154,0,0.0876581,7.37465e-06,, , 0.0677731,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00100075,0.000987789,0.0134827,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.37465e-06,0.0585562
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96132,0,1.81752,0.00100779,0.0727613,0,0.111504,7.46414e-06,0.115875,0,1.23285,0.00100075,0.0183154,0,0.0876581,7.37465e-06,, , 0.0677731,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00100075,0.000987789,0.0134827,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.37465e-06,0.0585562
2,15.1239,15.1814,11.3417,0.00939314,0.499823,0.503759,3.44752,0.000275304,3.68316,3.74067,9.61519,0.00907962,0.173998,0.177933,2.57907,1.67448e-05,, , 0.53121,6.59864,0.293982,15.1163,9.97854,9.61519,0.00907962,0.0155217,0.203866,0.129148,0.0189169,0.00853657,0.640836,2.57907,1.67448e-05,0.920125
3,4.20703,4.23214,7.27401,0.0182571,0.17121,0.173053,2.80604,0.000181708,0.892847,0.917952,6.41584,0.0176301,0.0675672,0.06941,1.07651,2.08667e-05,, , 0.232995,1.44982,0.127988,5.23262,3.22804,6.41584,0.0176301,0.0293457,0.0869942,0.0417726,0.00821046,0.00755516,0.204585,1.07651,2.08667e-05,1.73961
4,6.17563,6.23231,7.76774,0.0393054,0.2729,0.276237,5.6827,0.000604374,1.10164,1.15832,6.41692,0.0380513,0.13039,0.133727,2.22469,0.000143707,, , 0.462221,1.54823,0.249511,8.74862,4.6985,6.41692,0.0380513,0.0584488,0.171466,0.0761984,0.0164525,0.0118465,0.284231,2.22469,0.000143707,3.46485
