Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102654,0.0727674,0,0.111504,6.12416e-06,0.115909,0,1.23285,0.0010195,0.0183215,0,0.0876581,6.03467e-06,, , 0.0678063,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134888,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.03467e-06,0.0585562
2,15.1238,15.1813,11.342,0.0106204,0.500508,0.504282,3.47522,0.00146153,3.68306,3.74056,9.61551,0.0103069,0.174682,0.178457,2.60678,9.08842e-05,, , 0.531004,6.59864,0.293982,15.1163,9.97854,9.61551,0.0103069,0.0155217,0.20504,0.129148,0.0189502,0.00853657,0.640836,2.60678,9.08842e-05,0.920125
3,4.2061,4.2312,7.27514,0.0214327,0.173932,0.175496,2.85431,0.0014197,0.891909,0.917014,6.41697,0.0208057,0.070289,0.0718535,1.12478,0.000175616,, , 0.231118,1.44982,0.127988,5.23262,3.22804,6.41697,0.0208057,0.0293457,0.0921018,0.0417726,0.00826801,0.00755516,0.204585,1.12478,0.000175616,1.73961
4,6.1812,6.23787,7.76652,0.03891,0.278922,0.282862,5.58613,0.000269233,1.10721,1.16388,6.4157,0.0376559,0.136412,0.140352,2.12811,5.99215e-05,, , 0.473349,1.54823,0.249511,8.74862,4.6985,6.4157,0.0376559,0.0584488,0.184238,0.0761984,0.0163276,0.0118465,0.284231,2.12811,5.99215e-05,3.46485
5,1.53122,1.55207,7.03756,0.0832939,0.088047,0.0893997,7.67425,0.000894968,0.275512,0.296369,5.50173,0.0807855,0.0484911,0.0498437,0.760415,0.000417937,, , 0.173123,0.307138,0.0916197,6.2831,1.66101,5.50173,0.0807855,0.116473,0.0682964,0.024022,0.00601642,0.017688,0.0855392,0.760415,0.000417937,6.90454
6,2.44548,2.48951,8.43963,0.159282,0.15088,0.153941,15.3127,0.000632249,0.448755,0.492783,5.50226,0.154265,0.0968715,0.0999326,1.48531,0.00051406,, , 0.35102,0.409594,0.180924,11.9572,2.76803,5.50226,0.154265,0.232886,0.138082,0.0467762,0.0119461,0.0313899,0.125166,1.48531,0.00051406,13.8055
7,0.470091,0.471233,9.57549,0.228407,0.0296912,0.0300259,49.3627,0.000241536,0.385853,0.386995,0.0129905,0.211321,0.0163655,0.0167002,0.199938,2.43116e-05,, , 0.0100655,0.757676,0.00510665,12.0326,0.287717,0.0129905,0.211321,0.827824,0.0135577,0.0183357,0.00117231,0.107445,0.0520212,0.199938,2.43116e-05,49.0734
8,0.0286207,0.0287572,0.0180579,0.000970177,0.000539294,0.00054533,0.0602466,3.86529e-07,0.00198469,0.0021212,0.00208699,0.000949322,8.74414e-05,9.34771e-05,0.000227485,1.21362e-07,, , 0.00127218,0.00218914,0.000644581,0.0803593,0.0212412,0.00208699,0.000949322,0.00101147,7.36921e-05,8.89254e-05,1.8301e-05,0.000321226,0.00074128,0.000227485,1.21362e-07,0.0599602
Total,37.9478,30.1919,53.2719,0.543943,1.29529,1.23655,84.437,0.00492573,6.91019,6.99973,34.7001,0.517109,0.56152,0.557232,8.39322,0.00128889,, , 1.83876,11.0806,0.990543,66.3248,24.21,34.7001,0.517109,1.2825,0.714879,0.339823,0.0640503,0.186405,1.4432,8.39322,0.00128889,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12002,0.0081997,1.5122,19.3857,0.0203554,3.75396
