Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102029,0.0727678,0,0.111504,7.12578e-06,0.11591,0,1.23285,0.00101325,0.0183219,0,0.0876581,7.03628e-06,, , 0.0678081,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134892,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.03628e-06,0.0585562
2,15.1236,15.1811,11.342,0.010763,0.500175,0.503959,3.47522,0.000652233,3.68283,3.74034,9.61549,0.0104495,0.174349,0.178133,2.60677,4.03029e-05,, , 0.530554,6.59864,0.293982,15.1163,9.97854,9.61549,0.0104495,0.0155217,0.204386,0.129148,0.0189482,0.00853657,0.640836,2.60677,4.03029e-05,0.920125
3,4.20616,4.23127,7.27512,0.0213283,0.173741,0.175309,2.85431,0.000560765,0.891975,0.91708,6.41695,0.0207012,0.0700986,0.0716668,1.12478,6.82489e-05,, , 0.23125,1.44982,0.127988,5.23262,3.22804,6.41695,0.0207012,0.0293457,0.0917256,0.0417726,0.00826723,0.00755516,0.204585,1.12478,6.82489e-05,1.73961
4,6.1785,6.23517,7.76708,0.0425209,0.277513,0.281172,5.63442,0.00116341,1.1045,1.16118,6.41627,0.0412668,0.135002,0.138662,2.1764,0.000283465,, , 0.467945,1.54823,0.249511,8.74862,4.6985,6.41627,0.0412668,0.0584488,0.181081,0.0761984,0.0163856,0.0118465,0.284231,2.1764,0.000283465,3.46485
5,1.53101,1.55187,7.03762,0.0821997,0.0880218,0.0893586,7.68312,0.00103624,0.275309,0.296165,5.5018,0.0796914,0.0484658,0.0498027,0.769285,0.000488573,, , 0.172716,0.307138,0.0916197,6.2831,1.66101,5.5018,0.0796914,0.116473,0.0682268,0.024022,0.00601969,0.017688,0.0855392,0.769285,0.000488573,6.90454
6,2.44479,2.48882,8.44,0.156871,0.150512,0.153387,15.3482,0.000619014,0.448061,0.492089,5.50263,0.151854,0.0965035,0.0993784,1.52081,0.000500825,, , 0.349631,0.409594,0.180924,11.9572,2.76803,5.50263,0.151854,0.232886,0.137121,0.0467762,0.0119847,0.0313899,0.125166,1.52081,0.000500825,13.8055
7,0.470085,0.471227,9.57556,0.279653,0.0297355,0.030053,49.3662,0.000251877,0.385847,0.386989,0.0130604,0.262567,0.0164098,0.0167273,0.203443,3.46521e-05,, , 0.0100536,0.757676,0.00510665,12.0326,0.287717,0.0130604,0.262567,0.827824,0.0136255,0.0183357,0.00117588,0.107445,0.0520212,0.203443,3.46521e-05,49.0734
8,0.0286185,0.028755,0.0180562,0.000755622,0.000539288,0.00054533,0.0602466,3.64454e-07,0.00198246,0.00211896,0.00208534,0.000734767,8.74346e-05,9.34767e-05,0.000227485,9.92872e-08,, , 0.00126771,0.00218914,0.000644581,0.0803593,0.0212412,0.00208534,0.000734767,0.00101147,7.36862e-05,8.89254e-05,1.82997e-05,0.000321226,0.00074128,0.000227485,9.92872e-08,0.0599602
Total,37.9441,30.1882,53.273,0.595111,1.29301,1.23379,84.5332,0.00429103,6.90642,6.99596,34.7011,0.568278,0.559238,0.554464,8.48939,0.0014232,, , 1.83123,11.0806,0.990543,66.3248,24.21,34.7011,0.568278,1.2825,0.709729,0.339823,0.0641508,0.186405,1.4432,8.48939,0.0014232,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11781,0.0081967,1.51165,19.2015,0.0203369,3.75055
