Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96138,0,1.81752,0.00102029,0.0727733,0,0.111504,4.38783e-06,0.115933,0,1.23285,0.00101325,0.0183274,0,0.0876581,4.29834e-06,, , 0.0678312,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134947,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.29834e-06,0.0585562
2,15.1245,15.182,11.3417,0.0102882,0.499334,0.503278,3.44752,0.00102212,3.68377,3.74128,9.61517,0.00997468,0.173508,0.177453,2.57907,6.34205e-05,, , 0.532426,6.59864,0.293982,15.1163,9.97854,9.61517,0.00997468,0.0155217,0.202898,0.129148,0.0189151,0.00853657,0.640836,2.57907,6.34205e-05,0.920125
3,4.20586,4.23096,7.27487,0.0193982,0.170793,0.172424,2.84225,0.000518116,0.891671,0.916775,6.4167,0.0187711,0.0671508,0.0687816,1.11272,6.29177e-05,, , 0.230641,1.44982,0.127988,5.23262,3.22804,6.4167,0.0187711,0.0293457,0.0859056,0.0417726,0.0082543,0.00755516,0.204585,1.11272,6.29177e-05,1.73961
4,6.176,6.23268,7.76767,0.0371733,0.271209,0.274579,5.65858,0.000523255,1.10201,1.15868,6.41685,0.0359192,0.128699,0.132069,2.20056,0.000123427,, , 0.462958,1.54823,0.249511,8.74862,4.6985,6.41685,0.0359192,0.0584488,0.168124,0.0761984,0.0164455,0.0118465,0.284231,2.20056,0.000123427,3.46485
5,1.53002,1.55087,7.03861,0.0644492,0.087482,0.0885736,7.70974,0.000185824,0.274314,0.295171,5.50279,0.0619409,0.047926,0.0490176,0.795904,6.33649e-05,, , 0.170727,0.307138,0.0916197,6.2831,1.66101,5.50279,0.0619409,0.116473,0.0668513,0.024022,0.00607041,0.017688,0.0855392,0.795904,6.33649e-05,6.90454
6,2.44441,2.48843,8.44029,0.105624,0.149592,0.152328,15.3482,0.000159673,0.447678,0.491705,5.50291,0.100607,0.0955835,0.0983194,1.52083,4.14843e-05,, , 0.348864,0.409594,0.180924,11.9572,2.76803,5.50291,0.100607,0.232886,0.135113,0.0467762,0.0120134,0.0313899,0.125166,1.52083,4.14843e-05,13.8055
7,0.469941,0.471083,9.57572,0.124735,0.0295584,0.029836,49.3732,0.000228719,0.385703,0.386845,0.0132216,0.107649,0.0162326,0.0165103,0.210451,1.14946e-05,, , 0.00976569,0.757676,0.00510665,12.0326,0.287717,0.0132216,0.107649,0.827824,0.0132231,0.0183357,0.00118412,0.107445,0.0520212,0.210451,1.14946e-05,49.0734
8,0.028617,0.0287535,0.0180447,0.000756994,0.000539219,0.000545306,0.0602466,3.63209e-07,0.00198097,0.00211747,0.00207381,0.000736138,8.73661e-05,9.34527e-05,0.000227484,9.80427e-08,, , 0.00126472,0.00218914,0.000644581,0.0803593,0.0212412,0.00207381,0.000736138,0.00101147,7.36029e-05,8.89254e-05,1.82905e-05,0.000321226,0.00074128,0.000227484,9.80427e-08,0.0599602
Total,37.9407,30.1848,53.2744,0.363446,1.28128,1.22156,84.5512,0.00264245,6.90306,6.99257,34.7026,0.336612,0.547515,0.542244,8.50742,0.000370505,, , 1.82448,11.0806,0.990543,66.3248,24.21,34.7026,0.336612,1.2825,0.685683,0.339823,0.0642524,0.186405,1.4432,8.50742,0.000370505,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.118,0.00821265,1.51459,19.2155,0.0204353,3.76871
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96138,0,1.81752,0.00102029,0.0727733,0,0.111504,4.38783e-06,0.115933,0,1.23285,0.00101325,0.0183274,0,0.0876581,4.29834e-06,, , 0.0678312,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134947,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.29834e-06,0.0585562
2,15.1245,15.182,11.3417,0.0102882,0.499334,0.503278,3.44752,0.00102212,3.68377,3.74128,9.61517,0.00997468,0.173508,0.177453,2.57907,6.34205e-05,, , 0.532426,6.59864,0.293982,15.1163,9.97854,9.61517,0.00997468,0.0155217,0.202898,0.129148,0.0189151,0.00853657,0.640836,2.57907,6.34205e-05,0.920125
3,4.20586,4.23096,7.27487,0.0193982,0.170793,0.172424,2.84225,0.000518116,0.891671,0.916775,6.4167,0.0187711,0.0671508,0.0687816,1.11272,6.29177e-05,, , 0.230641,1.44982,0.127988,5.23262,3.22804,6.4167,0.0187711,0.0293457,0.0859056,0.0417726,0.0082543,0.00755516,0.204585,1.11272,6.29177e-05,1.73961
4,6.176,6.23268,7.76767,0.0371733,0.271209,0.274579,5.65858,0.000523255,1.10201,1.15868,6.41685,0.0359192,0.128699,0.132069,2.20056,0.000123427,, , 0.462958,1.54823,0.249511,8.74862,4.6985,6.41685,0.0359192,0.0584488,0.168124,0.0761984,0.0164455,0.0118465,0.284231,2.20056,0.000123427,3.46485
5,1.53002,1.55087,7.03861,0.0644492,0.087482,0.0885736,7.70974,0.000185824,0.274314,0.295171,5.50279,0.0619409,0.047926,0.0490176,0.795904,6.33649e-05,, , 0.170727,0.307138,0.0916197,6.2831,1.66101,5.50279,0.0619409,0.116473,0.0668513,0.024022,0.00607041,0.017688,0.0855392,0.795904,6.33649e-05,6.90454
6,2.44441,2.48843,8.44029,0.105624,0.149592,0.152328,15.3482,0.000159673,0.447678,0.491705,5.50291,0.100607,0.0955835,0.0983194,1.52083,4.14843e-05,, , 0.348864,0.409594,0.180924,11.9572,2.76803,5.50291,0.100607,0.232886,0.135113,0.0467762,0.0120134,0.0313899,0.125166,1.52083,4.14843e-05,13.8055
7,0.469941,0.471083,9.57572,0.124735,0.0295584,0.029836,49.3732,0.000228719,0.385703,0.386845,0.0132216,0.107649,0.0162326,0.0165103,0.210451,1.14946e-05,, , 0.00976569,0.757676,0.00510665,12.0326,0.287717,0.0132216,0.107649,0.827824,0.0132231,0.0183357,0.00118412,0.107445,0.0520212,0.210451,1.14946e-05,49.0734
8,0.028617,0.0287535,0.0180447,0.000756994,0.000539219,0.000545306,0.0602466,3.63209e-07,0.00198097,0.00211747,0.00207381,0.000736138,8.73661e-05,9.34527e-05,0.000227484,9.80427e-08,, , 0.00126472,0.00218914,0.000644581,0.0803593,0.0212412,0.00207381,0.000736138,0.00101147,7.36029e-05,8.89254e-05,1.82905e-05,0.000321226,0.00074128,0.000227484,9.80427e-08,0.0599602
Total,37.9407,30.1848,53.2744,0.363446,1.28128,1.22156,84.5512,0.00264245,6.90306,6.99257,34.7026,0.336612,0.547515,0.542244,8.50742,0.000370505,, , 1.82448,11.0806,0.990543,66.3248,24.21,34.7026,0.336612,1.2825,0.685683,0.339823,0.0642524,0.186405,1.4432,8.50742,0.000370505,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.118,0.00821265,1.51459,19.2155,0.0204353,3.76871
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000153632,5.79821e-07,2.56408e-05,8.57996e-05,1.9617e-05,1.19747e-05,1.00204e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,10.7634,0,2.20464,1.40993e-05,0.115324,0,0.111504,1.82552e-07,0.22542,0,1.23285,0,0.0367426,0,0.0876581,0,, , 0.129544,0.0293418,0.0665337,7.71185,3.82002,1.23285,0,0.000987789,0.0255784,0.00858697,0.00257721,0.00166491,0.0741915,0.0876581,0,0.0585562
2,24.2703,24.4005,12.3849,0.000628542,0.753886,0.757706,3.80745,1.51782e-05,2.59438,2.72457,9.61942,0,0.326245,0.330065,2.939,1.25436e-08,, , 1.07177,3.67438,0.572793,18.7811,28.3272,9.61942,0,0.0155217,0.428153,0.189591,0.0385666,0.00876584,0.845776,2.939,1.25436e-08,0.920125
