Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
3,7.51254,7.56929,7.62947,0.00125711,0.277307,0.27741,3.08338,3.0256e-05,0.754806,0.811565,6.4232,0,0.139651,0.139753,1.35385,2.50872e-08,, , 0.465627,0.851319,0.249426,7.2121,9.49187,6.4232,0,0.0293457,0.187336,0.0749496,0.0171185,0.00791837,0.275326,1.35385,2.50872e-08,1.73961
4,10.7975,10.9174,8.22269,0.00251432,0.460069,0.464403,5.8516,6.04116e-05,1.16892,1.2889,6.41935,0,0.27313,0.277464,2.39359,5.01743e-08,, , 0.934407,1.03103,0.492387,11.9625,13.0626,6.41935,0,0.0584488,0.371192,0.146059,0.0333423,0.0123097,0.378779,2.39359,5.01743e-08,3.46485
5,1.70655,1.7274,7.01338,0.00502864,0.162324,0.164357,7.71861,0.000120823,0.215699,0.236555,5.50313,0,0.099427,0.10146,0.804775,1.00349e-07,, , 0.171261,0.189372,0.0916197,6.09506,2.30337,5.50313,0,0.116473,0.135077,0.0536544,0.0121559,0.0191524,0.143061,0.804775,1.00349e-07,6.90454
6,2.69786,2.74189,8.40758,0.0100581,0.287884,0.292843,15.3837,0.000241446,0.37583,0.419857,5.50346,0,0.196023,0.200981,1.55633,2.00697e-07,, , 0.343449,0.271314,0.180924,11.7461,3.61569,5.50346,0,0.232886,0.266909,0.10598,0.0241143,0.0338736,0.222999,1.55633,2.00697e-07,13.8055
7,0.861445,0.862587,9.57589,0.0342255,0.0532418,0.0537123,49.3819,0.000443815,0.79715,0.798292,0.0133956,0,0.0339171,0.0343876,0.219204,7.1359e-07,, , 0.00956215,1.58077,0.00510665,11.9855,0.300305,0.0133956,0,0.827824,0.0264366,0.0394833,0.00238478,0.114727,0.101913,0.219204,7.1359e-07,49.0734
8,0.0478274,0.0479639,0.0209712,4.17756e-05,0.000723856,0.000729722,0.0602488,5.4647e-07,0.00150387,0.00164038,0.00213092,0,9.31678e-05,9.90339e-05,0.000229629,5.57493e-09,, , 0.00115057,0.00134909,0.000644581,0.119896,0.0574215,0.00213092,0,0.00101147,8.32019e-05,9.06637e-05,1.83361e-05,0.000326558,0.00114876,0.000229629,5.57493e-09,0.0599602
Total,58.6574,48.2671,55.4596,0.0537681,2.11076,2.01116,85.3984,0.000912659,6.13371,6.28138,34.7169,0,1.10523,1.08421,9.35463,1.10802e-06,, , 3.12677,7.62888,1.65943,75.6142,60.9784,34.7169,0,1.2825,1.44076,0.618395,0.130278,0.198738,2.04319,9.35463,1.10802e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.05878,0.00615621,1.13534,15.9754,0.021217,3.91287
