Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00103279,0.072765,0,0.111504,8.23213e-06,0.115897,0,1.23285,0.00102575,0.0183191,0,0.0876581,8.14263e-06,, , 0.0677947,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00102575,0.000987789,0.0134863,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.14263e-06,0.0585562
2,15.1234,15.1809,11.3421,0.0103783,0.50039,0.504129,3.47523,0.000646323,3.68265,3.74016,9.61558,0.0100647,0.174564,0.178303,2.60678,3.99335e-05,, , 0.530196,6.59864,0.293982,15.1163,9.97854,9.61558,0.0100647,0.0155217,0.204762,0.129148,0.0189575,0.00853657,0.640836,2.60678,3.99335e-05,0.920125
3,4.20639,4.2315,7.27491,0.0217216,0.173759,0.175379,2.84225,0.000764748,0.892204,0.917309,6.41674,0.0210946,0.0701167,0.0717366,1.11272,9.37468e-05,, , 0.231709,1.44982,0.127988,5.23262,3.22804,6.41674,0.0210946,0.0293457,0.0918243,0.0417726,0.00825655,0.00755516,0.204585,1.11272,9.37468e-05,1.73961
4,6.18,6.23667,7.76673,0.0432861,0.278014,0.281849,5.58614,0.00151494,1.10601,1.16268,6.41591,0.042032,0.135504,0.139339,2.12813,0.000371349,, , 0.470956,1.54823,0.249511,8.74862,4.6985,6.41591,0.042032,0.0584488,0.182295,0.0761984,0.0163494,0.0118465,0.284231,2.12813,0.000371349,3.46485
5,1.53108,1.55194,7.0377,0.0735158,0.08798,0.0892975,7.68312,0.000244801,0.275377,0.296233,5.50188,0.0710075,0.0484241,0.0497416,0.769287,9.28534e-05,, , 0.172852,0.307138,0.0916197,6.2831,1.66101,5.50188,0.0710075,0.116473,0.0681199,0.024022,0.00602369,0.017688,0.0855392,0.769287,9.28534e-05,6.90454
6,2.44412,2.48815,8.44003,0.163686,0.150536,0.153397,15.3482,0.00111651,0.447391,0.491419,5.50266,0.158669,0.0965273,0.0993879,1.52082,0.000998322,, , 0.348291,0.409594,0.180924,11.9572,2.76803,5.50266,0.158669,0.232886,0.137151,0.0467762,0.0119876,0.0313899,0.125166,1.52082,0.000998322,13.8055
7,0.470037,0.471179,9.57555,0.305824,0.0297366,0.0300559,49.3644,0.000257217,0.385799,0.386941,0.0130531,0.288738,0.0164109,0.0167302,0.201692,3.9993e-05,, , 0.00995718,0.757676,0.00510665,12.0326,0.287717,0.0130531,0.288738,0.827824,0.0136299,0.0183357,0.00117551,0.107445,0.0520212,0.201692,3.9993e-05,49.0734
8,0.0286175,0.028754,0.0180754,0.000932527,0.000539329,0.000545297,0.0602488,3.88999e-07,0.00198148,0.00211799,0.00210456,0.000911672,8.74762e-05,9.34442e-05,0.000229628,1.23832e-07,, , 0.00126575,0.00218914,0.000644581,0.0803593,0.0212412,0.00210456,0.000911672,0.00101147,7.36799e-05,8.89254e-05,1.83151e-05,0.000321226,0.00074128,0.000229628,1.23832e-07,0.0599602
Total,37.945,30.1891,53.2726,0.620377,1.29372,1.23465,84.4711,0.00455316,6.90731,6.99686,34.7008,0.593543,0.559954,0.555332,8.42731,0.00164446,, , 1.83302,11.0806,0.990543,66.3248,24.21,34.7008,0.593543,1.2825,0.711343,0.339823,0.0641199,0.186405,1.4432,8.42731,0.00164446,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11928,0.00819491,1.51132,19.3228,0.0203258,3.74852
