Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00101404,0.072765,0,0.111504,5.76536e-06,0.115895,0,1.23285,0.001007,0.0183191,0,0.0876581,5.67586e-06,, , 0.0677924,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001007,0.000987789,0.0134864,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.67586e-06,0.0585562
2,15.1247,15.1822,11.3419,0.0108253,0.499648,0.503473,3.47521,0.0013471,3.68403,3.74153,9.61541,0.0105117,0.173822,0.177647,2.60677,8.37319e-05,, , 0.532941,6.59864,0.293982,15.1163,9.97854,9.61541,0.0105117,0.0155217,0.203382,0.129148,0.0189397,0.00853657,0.640836,2.60677,8.37319e-05,0.920125
3,4.20602,4.23113,7.2751,0.0207199,0.173988,0.175562,2.85431,0.00111143,0.891838,0.916943,6.41693,0.0200929,0.0703455,0.0719189,1.12478,0.000137083,, , 0.230977,1.44982,0.127988,5.23262,3.22804,6.41693,0.0200929,0.0293457,0.0922257,0.0417726,0.00826616,0.00755516,0.204585,1.12478,0.000137083,1.73961
4,6.18139,6.23806,7.76665,0.0431873,0.279074,0.282948,5.58614,0.00163811,1.1074,1.16407,6.41583,0.0419332,0.136564,0.140438,2.12812,0.000402142,, , 0.473728,1.54823,0.249511,8.74862,4.6985,6.41583,0.0419332,0.0584488,0.184463,0.0761984,0.0163412,0.0118465,0.284231,2.12812,0.000402142,3.46485
5,1.53168,1.55254,7.03737,0.0800479,0.0881104,0.0895102,7.67425,0.000692478,0.275978,0.296835,5.50154,0.0775396,0.0485544,0.0499542,0.76041,0.000316692,, , 0.174055,0.307138,0.0916197,6.2831,1.66101,5.50154,0.0775396,0.116473,0.0684799,0.024022,0.00600667,0.017688,0.0855392,0.76041,0.000316692,6.90454
6,2.44523,2.48925,8.43958,0.145502,0.150944,0.15403,15.3127,0.000242121,0.448498,0.492526,5.50221,0.140485,0.0969346,0.100021,1.48531,0.000123932,, , 0.350506,0.409594,0.180924,11.9572,2.76803,5.50221,0.140485,0.232886,0.138238,0.0467762,0.011941,0.0313899,0.125166,1.48531,0.000123932,13.8055
7,0.470117,0.471259,9.57551,0.349749,0.0298074,0.0301358,49.3627,0.000271453,0.38588,0.387022,0.0130158,0.332663,0.0164816,0.0168101,0.199939,5.42284e-05,, , 0.0101181,0.757676,0.00510665,12.0326,0.287717,0.0130158,0.332663,0.827824,0.0137825,0.0183357,0.0011736,0.107445,0.0520212,0.199939,5.42284e-05,49.0734
8,0.0286157,0.0287522,0.0180875,0.00117226,0.000539316,0.000545237,0.0602488,4.04287e-07,0.00197968,0.00211618,0.00211664,0.0011514,8.74627e-05,9.3384e-05,0.000229629,1.39121e-07,, , 0.00126215,0.00218914,0.000644581,0.0803593,0.0212412,0.00211664,0.0011514,0.00101147,7.35965e-05,8.89254e-05,1.83247e-05,0.000321226,0.00074128,0.000229629,1.39121e-07,0.0599602
Total,37.9491,30.1932,53.2717,0.652218,1.29488,1.2362,84.437,0.00530887,6.91149,7.00104,34.6999,0.625384,0.561109,0.556883,8.39321,0.00112362,, , 1.84138,11.0806,0.990543,66.3248,24.21,34.6999,0.625384,1.2825,0.714131,0.339823,0.064038,0.186405,1.4432,8.39321,0.00112362,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12002,0.00819227,1.51083,19.3876,0.0203096,3.74552
