Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96132,0,1.81752,0.00102654,0.0727603,0,0.111504,6.44822e-06,0.115873,0,1.23285,0.0010195,0.0183144,0,0.0876581,6.35872e-06,, , 0.0677707,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134817,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.35872e-06,0.0585562
2,15.124,15.1815,11.342,0.0106743,0.50004,0.503836,3.47522,0.000969862,3.68329,3.74079,9.61547,0.0103608,0.174214,0.17801,2.60677,6.01547e-05,, , 0.531461,6.59864,0.293982,15.1163,9.97854,9.61547,0.0103608,0.0155217,0.204131,0.129148,0.0189457,0.00853657,0.640836,2.60677,6.01547e-05,0.920125
3,4.20625,4.23136,7.27497,0.0215636,0.17396,0.175567,2.84225,0.000926193,0.892067,0.917171,6.4168,0.0209366,0.0703177,0.0719245,1.11272,0.000113927,, , 0.231434,1.44982,0.127988,5.23262,3.22804,6.4168,0.0209366,0.0293457,0.0922104,0.0417726,0.00825927,0.00755516,0.204585,1.11272,0.000113927,1.73961
4,6.17977,6.23644,7.76687,0.0402507,0.279159,0.282923,5.61028,0.000602462,1.10578,1.16245,6.41606,0.0389966,0.136649,0.140413,2.15226,0.000143229,, , 0.470494,1.54823,0.249511,8.74862,4.6985,6.41606,0.0389966,0.0584488,0.1845,0.0761984,0.0163641,0.0118465,0.284231,2.15226,0.000143229,3.46485
5,1.5316,1.55246,7.03749,0.0848001,0.0880814,0.0894513,7.67425,0.00118804,0.275898,0.296755,5.50166,0.0822918,0.0485255,0.0498954,0.760413,0.000564474,, , 0.173896,0.307138,0.0916197,6.2831,1.66101,5.50166,0.0822918,0.116473,0.068386,0.024022,0.00601286,0.017688,0.0855392,0.760413,0.000564474,6.90454
6,2.44611,2.49014,8.43949,0.131948,0.15099,0.154119,15.3127,0.000178648,0.449383,0.493411,5.50212,0.126931,0.096981,0.10011,1.4853,6.04594e-05,, , 0.352275,0.409594,0.180924,11.9572,2.76803,5.50212,0.126931,0.232886,0.138383,0.0467762,0.0119321,0.0313899,0.125166,1.4853,6.04594e-05,13.8055
7,0.47008,0.471222,9.57551,0.245438,0.0296592,0.0299891,49.3627,0.000244212,0.385842,0.386984,0.0130102,0.228352,0.0163335,0.0166633,0.199939,2.69877e-05,, , 0.0100429,0.757676,0.00510665,12.0326,0.287717,0.0130102,0.228352,0.827824,0.0134878,0.0183357,0.00117332,0.107445,0.0520212,0.199939,2.69877e-05,49.0734
8,0.0286132,0.0287497,0.0180645,0.00079796,0.00053919,0.0005452,0.0602466,3.5508e-07,0.0019772,0.0021137,0.00209358,0.000777105,8.73367e-05,9.3347e-05,0.000227485,8.99131e-08,, , 0.00125719,0.00218914,0.000644581,0.0803593,0.0212412,0.00209358,0.000777105,0.00101147,7.34519e-05,8.89254e-05,1.83063e-05,0.000321226,0.00074128,0.000227485,8.99131e-08,0.0599602
Total,37.9478,30.1919,53.2719,0.536499,1.29519,1.23643,84.4491,0.00411622,6.91011,6.99968,34.7001,0.509665,0.561422,0.55711,8.4053,0.000975681,, , 1.83863,11.0806,0.990543,66.3248,24.21,34.7001,0.509665,1.2825,0.714653,0.339823,0.0640569,0.186405,1.4432,8.4053,0.000975681,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11975,0.00820021,1.51229,19.3622,0.0203585,3.75454
