Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00105154,0.0727638,0,0.111504,8.92095e-06,0.115887,0,1.23285,0.0010445,0.0183179,0,0.0876581,8.83146e-06,, , 0.067785,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010445,0.000987789,0.0134852,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.83146e-06,0.0585562
2,15.1236,15.1811,11.3419,0.0107972,0.499713,0.503542,3.47521,0.000602179,3.68285,3.74036,9.6154,0.0104837,0.173887,0.177717,2.60677,3.71745e-05,, , 0.530589,6.59864,0.293982,15.1163,9.97854,9.6154,0.0104837,0.0155217,0.203517,0.129148,0.018939,0.00853657,0.640836,2.60677,3.71745e-05,0.920125
3,4.20632,4.23143,7.27494,0.0204296,0.173975,0.175588,2.84225,0.000595663,0.892135,0.91724,6.41677,0.0198026,0.0703327,0.0719455,1.11272,7.26112e-05,, , 0.231571,1.44982,0.127988,5.23262,3.22804,6.41677,0.0198026,0.0293457,0.0922476,0.0417726,0.00825802,0.00755516,0.204585,1.11272,7.26112e-05,1.73961
4,6.18056,6.23723,7.7668,0.0420684,0.279164,0.282963,5.61027,0.00113254,1.10657,1.16324,6.41599,0.0408143,0.136654,0.140452,2.15226,0.000275749,, , 0.472073,1.54823,0.249511,8.74862,4.6985,6.41599,0.0408143,0.0584488,0.184551,0.0761984,0.0163568,0.0118465,0.284231,2.15226,0.000275749,3.46485
5,1.53143,1.55229,7.03742,0.0758704,0.0880857,0.089471,7.67425,0.0002988,0.275728,0.296584,5.5016,0.0733621,0.0485298,0.0499151,0.760412,0.000119853,, , 0.173554,0.307138,0.0916197,6.2831,1.66101,5.5016,0.0733621,0.116473,0.0684132,0.024022,0.00600967,0.017688,0.0855392,0.760412,0.000119853,6.90454
6,2.44442,2.48845,8.4397,0.169078,0.150835,0.15386,15.3304,0.00121417,0.447693,0.491721,5.50233,0.164061,0.0968257,0.0998507,1.50306,0.00109598,, , 0.348895,0.409594,0.180924,11.9572,2.76803,5.50233,0.164061,0.232886,0.137947,0.0467762,0.0119536,0.0313899,0.125166,1.50306,0.00109598,13.8055
7,0.470128,0.47127,9.5755,0.362718,0.0297984,0.0301298,49.3627,0.000278637,0.385891,0.387033,0.0130041,0.345632,0.0164727,0.0168041,0.199939,6.14124e-05,, , 0.0101402,0.757676,0.00510665,12.0326,0.287717,0.0130041,0.345632,0.827824,0.0137681,0.0183357,0.00117301,0.107445,0.0520212,0.199939,6.14124e-05,49.0734
8,0.028618,0.0287545,0.0180568,0.00099223,0.000539231,0.000545271,0.0602466,3.89416e-07,0.00198199,0.00211849,0.00208589,0.000971375,8.7378e-05,9.3418e-05,0.000227485,1.2425e-07,, , 0.00126676,0.00218914,0.000644581,0.0803593,0.0212412,0.00208589,0.000971375,0.00101147,7.35704e-05,8.89254e-05,1.83001e-05,0.000321226,0.00074128,0.000227485,1.2425e-07,0.0599602
Total,37.9464,30.1905,53.2719,0.683006,1.29487,1.2361,84.4668,0.00413131,6.90874,6.9983,34.7,0.656172,0.561107,0.556778,8.42304,0.00167174,, , 1.83588,11.0806,0.990543,66.3248,24.21,34.7,0.656172,1.2825,0.714002,0.339823,0.0640597,0.186405,1.4432,8.42304,0.00167174,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11933,0.00819056,1.51051,19.3261,0.0202991,3.74359
