Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96139,0,1.81752,0.00102654,0.0727734,0,0.111504,5.78516e-06,0.115942,0,1.23285,0.0010195,0.0183275,0,0.0876581,5.69567e-06,, , 0.0678397,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134948,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.69567e-06,0.0585562
2,15.1235,15.181,11.3422,0.0108906,0.499679,0.503361,3.50291,0.00221965,3.6828,3.7403,9.6157,0.0105771,0.173853,0.177536,2.63446,0.000138266,, , 0.530478,6.59864,0.293982,15.1163,9.97854,9.6157,0.0105771,0.0155217,0.203271,0.129148,0.0189693,0.00853657,0.640836,2.63446,0.000138266,0.920125
3,4.20601,4.23111,7.27541,0.0210621,0.174099,0.175596,2.86638,0.000859523,0.891819,0.916924,6.41724,0.020435,0.0704562,0.0719533,1.13685,0.000105594,, , 0.230938,1.44982,0.127988,5.23262,3.22804,6.41724,0.020435,0.0293457,0.092355,0.0417726,0.00828194,0.00755516,0.204585,1.13685,0.000105594,1.73961
4,6.18072,6.23739,7.76678,0.0433592,0.279332,0.283142,5.61027,0.00104148,1.10673,1.1634,6.41596,0.0421051,0.136822,0.140632,2.15226,0.000252983,, , 0.472392,1.54823,0.249511,8.74862,4.6985,6.41596,0.0421051,0.0584488,0.184901,0.0761984,0.0163544,0.0118465,0.284231,2.15226,0.000252983,3.46485
5,1.53148,1.55233,7.03731,0.0785808,0.0881115,0.0895247,7.67424,0.000384872,0.275774,0.29663,5.50149,0.0760725,0.0485555,0.0499687,0.760409,0.000162889,, , 0.173646,0.307138,0.0916197,6.2831,1.66101,5.50149,0.0760725,0.116473,0.0684983,0.024022,0.00600391,0.017688,0.0855392,0.760409,0.000162889,6.90454
6,2.4456,2.48963,8.43965,0.140299,0.150835,0.153885,15.3127,0.000212279,0.448871,0.492899,5.50228,0.135282,0.0968262,0.0998765,1.48531,9.40896e-05,, , 0.351251,0.409594,0.180924,11.9572,2.76803,5.50228,0.135282,0.232886,0.137978,0.0467762,0.0119484,0.0313899,0.125166,1.48531,9.40896e-05,13.8055
7,0.470108,0.47125,9.57548,0.320601,0.0297148,0.03005,49.3627,0.000260667,0.385871,0.387013,0.0129887,0.303515,0.0163891,0.0167243,0.199938,4.34423e-05,, , 0.0101001,0.757676,0.00510665,12.0326,0.287717,0.0129887,0.303515,0.827824,0.0136055,0.0183357,0.00117222,0.107445,0.0520212,0.199938,4.34423e-05,49.0734
8,0.0286212,0.0287577,0.018065,0.000700853,0.000539254,0.000545262,0.0602466,3.46524e-07,0.00198515,0.00212165,0.00209413,0.000679998,8.74005e-05,9.34087e-05,0.000227485,8.13578e-08,, , 0.00127309,0.00218914,0.000644581,0.0803593,0.0212412,0.00209413,0.000679998,0.00101147,7.3577e-05,8.89254e-05,1.83067e-05,0.000321226,0.00074128,0.000227485,8.13578e-08,0.0599602
Total,37.9474,30.1915,53.2724,0.61652,1.29508,1.2361,84.5009,0.0049846,6.90978,6.99929,34.7006,0.589686,0.561317,0.556784,8.45711,0.00080304,, , 1.83792,11.0806,0.990543,66.3248,24.21,34.7006,0.589686,1.2825,0.714178,0.339823,0.0640997,0.186405,1.4432,8.45711,0.00080304,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11847,0.00819485,1.51131,19.2587,0.0203255,3.74845
