epoch,average loss,accuracy
0.000000,73.674828,41.130001
1.000000,63.380215,52.400002
2.000000,58.893402,55.779999
3.000000,51.468201,62.500000
4.000000,50.593613,62.869999
5.000000,40.566933,72.019997
6.000000,40.415436,72.330002
7.000000,41.015781,70.959999
8.000000,40.426559,71.400002
9.000000,36.743950,75.059998
10.000000,32.439266,79.199997
11.000000,32.902168,78.849998
12.000000,34.035343,77.180000
13.000000,32.217842,78.910004
14.000000,33.367035,77.790001
