  -0.56179,   0.14965,   0.17757,   0.81724,  -0.47219,  -0.77401,   0.31519,  -0.37425,   0.80852,   0.32833
  -0.32084,   0.93750,  -0.81381,   0.33374,   0.46633,   0.12469,   0.47380,   0.86158,   0.79785,  -0.14518
  -0.77227,   0.93750,  -0.38768,  -0.24598,  -0.04125,  -0.60670,  -0.50258,  -0.21667,  -0.83341,   0.88231
  -0.93750,  -0.52889,  -0.52263,  -0.60369,   0.00471,  -0.85502,   0.80910,  -0.28041,  -0.30357,  -0.01533
   0.63415,   0.88361,  -0.62452,  -0.87914,   0.75066,  -0.76321,   0.93750,   0.87393,   0.93750,  -0.87646
  -0.78838,  -0.16155,   0.38974,  -0.10770,   0.93750,   0.93750,  -0.87525,  -0.68972,  -0.71654,   0.53824
  -0.03071,   0.48694,  -0.86267,   0.33852,   0.14452,  -0.93750,  -0.38135,   0.93750,   0.39765,  -0.86296
   0.05595,  -0.00838,  -0.26734,   0.69872,  -0.57441,   0.71456,  -0.31129,   0.67985,  -0.44279,  -0.33785
  -0.61541,  -0.32109,   0.93750,  -0.67958,   0.65450,  -0.76854,  -0.49481,  -0.89871,  -0.35692,   0.24241
  -0.28384,   0.93750,  -0.71562,   0.49725,   0.93750,  -0.81458,  -0.38621,  -0.88457,  -0.81286,  -0.87103
   0.23174,   0.05520,   0.91580,   0.82932,  -0.65881,   0.64898,  -0.61740,  -0.70570,  -0.20479,  -0.51894
   0.15702,   0.55659,  -0.49086,   0.68593,   0.73695,  -0.37642,  -0.87800,  -0.23520,  -0.64957,  -0.44138
  -0.20754,   0.55545,  -0.08355,   0.39747,   0.37061,  -0.93750,  -0.93750,   0.68245,  -0.44615,  -0.39701
  -0.10683,   0.91335,   0.00093,  -0.48020,   0.85333,   0.01069,  -0.55994,  -0.14684,  -0.10333,  -0.77839
   0.93750,   0.93750,   0.93750,   0.13484,   0.93750,   0.39454,  -0.74876,  -0.90441,   0.93750,   0.93750
   0.08573,   0.16774,  -0.76463,  -0.93750,   0.93750,   0.91901,   0.93750,   0.93750,  -0.93750,  -0.07428
